,Age,Gender,Education Level,Job Title,Years of Experience,Salary
0,32,1.0,2.0,Software Engineer,5.0,90000
1,28,2.0,3.0,Data Analyst,3.0,65000
2,45,1.0,4.0,Senior Manager,15.0,150000
3,36,2.0,2.0,Sales Associate,7.0,60000
4,52,1.0,3.0,Director,20.0,200000
5,29,1.0,2.0,Marketing Analyst,2.0,55000
6,42,2.0,3.0,Product Manager,12.0,120000
7,31,1.0,2.0,Sales Manager,4.0,80000
8,26,2.0,2.0,Marketing Coordinator,1.0,45000
9,38,1.0,4.0,Senior Scientist,10.0,110000
10,29,1.0,3.0,Software Developer,3.0,75000
11,48,2.0,2.0,HR Manager,18.0,140000
12,35,1.0,2.0,Financial Analyst,6.0,65000
13,40,2.0,3.0,Project Manager,14.0,130000
14,27,1.0,2.0,Customer Service Rep,2.0,40000
15,44,1.0,2.0,Operations Manager,16.0,125000
16,33,2.0,3.0,Marketing Manager,7.0,90000
17,39,1.0,4.0,Senior Engineer,12.0,115000
18,25,2.0,2.0,Data Entry Clerk,0.0,35000
19,51,1.0,2.0,Sales Director,22.0,180000
20,34,2.0,3.0,Business Analyst,5.0,80000
21,47,1.0,3.0,VP of Operations,19.0,190000
22,30,1.0,2.0,IT Support,2.0,50000
23,36,2.0,2.0,Recruiter,9.0,60000
24,41,1.0,3.0,Financial Manager,13.0,140000
25,28,2.0,2.0,Social Media Specialist,3.0,45000
26,37,2.0,3.0,Software Manager,11.0,110000
27,24,1.0,2.0,Junior Developer,1.0,40000
28,43,2.0,4.0,Senior Consultant,15.0,140000
29,33,1.0,3.0,Product Designer,6.0,90000
30,50,1.0,2.0,CEO,25.0,250000
31,31,2.0,2.0,Accountant,4.0,55000
32,29,1.0,3.0,Data Scientist,3.0,75000
33,39,2.0,2.0,Marketing Specialist,10.0,65000
34,46,1.0,4.0,Senior Manager,20.0,170000
35,27,1.0,2.0,Technical Writer,2.0,45000
36,35,2.0,2.0,HR Generalist,7.0,60000
37,42,1.0,3.0,Project Engineer,14.0,115000
38,26,2.0,2.0,Customer Success Rep,1.0,40000
39,49,1.0,2.0,Sales Executive,21.0,160000
40,34,2.0,3.0,UX Designer,5.0,80000
41,48,1.0,3.0,Operations Director,18.0,190000
42,30,1.0,2.0,Network Engineer,3.0,60000
43,36,2.0,2.0,Administrative Assistant,8.0,45000
44,41,1.0,3.0,Strategy Consultant,13.0,130000
45,28,2.0,2.0,Copywriter,2.0,40000
46,32,1.0,2.0,Account Manager,5.0,75000
47,45,2.0,3.0,Director of Marketing,16.0,180000
48,38,1.0,4.0,Senior Scientist,11.0,120000
49,25,1.0,2.0,Help Desk Analyst,0.0,35000
50,51,2.0,2.0,Customer Service Manager,22.0,130000
51,33,1.0,3.0,Business Intelligence Analyst,7.0,85000
52,40,2.0,2.0,Event Coordinator,12.0,60000
53,47,1.0,3.0,VP of Finance,19.0,200000
54,29,2.0,2.0,Graphic Designer,3.0,50000
55,36,1.0,2.0,Sales Manager,9.0,95000
56,27,2.0,3.0,UX Researcher,2.0,65000
57,43,1.0,4.0,Senior Engineer,17.0,140000
58,30,2.0,2.0,Social Media Manager,4.0,55000
59,35,1.0,3.0,Product Manager,7.0,105000
60,51,2.0,3.0,Director of Operations,23.0,170000
61,29,1.0,2.0,Marketing Analyst,3.0,50000
62,40,2.0,2.0,HR Manager,12.0,80000
63,47,1.0,4.0,Senior Data Scientist,21.0,180000
64,26,1.0,2.0,Junior Accountant,1.0,35000
65,38,2.0,3.0,Digital Marketing Manager,10.0,90000
66,46,1.0,2.0,IT Manager,19.0,120000
67,31,2.0,2.0,Customer Service Representative,5.0,45000
68,34,1.0,3.0,Business Development Manager,8.0,90000
69,49,2.0,3.0,Senior Financial Analyst,18.0,150000
70,33,1.0,2.0,Web Developer,6.0,65000
71,39,2.0,2.0,Recruiter,11.0,70000
72,45,1.0,4.0,Research Director,16.0,190000
73,28,1.0,2.0,Technical Support Specialist,2.0,40000
74,42,2.0,3.0,Creative Director,14.0,120000
75,37,1.0,2.0,Project Manager,10.0,95000
76,50,2.0,2.0,Operations Manager,22.0,160000
77,32,1.0,3.0,Senior Software Engineer,6.0,100000
78,48,2.0,3.0,Human Resources Director,20.0,180000
79,30,2.0,2.0,Content Marketing Manager,3.0,55000
80,36,1.0,2.0,Technical Recruiter,8.0,70000
81,41,2.0,3.0,Data Analyst,13.0,80000
82,25,1.0,2.0,Sales Representative,0.0,30000
83,52,1.0,4.0,Chief Technology Officer,24.0,250000
84,29,2.0,2.0,Junior Designer,2.0,40000
85,34,2.0,3.0,Financial Advisor,10.0,95000
86,27,1.0,2.0,Junior Account Manager,2.0,45000
87,40,2.0,2.0,HR Generalist,15.0,80000
88,46,1.0,3.0,Senior Project Manager,21.0,135000
89,31,2.0,2.0,Marketing Coordinator,6.0,55000
90,36,1.0,4.0,Principal Scientist,11.0,120000
91,29,2.0,2.0,Sales Associate,3.0,40000
92,43,1.0,2.0,Supply Chain Manager,18.0,105000
93,52,2.0,3.0,Senior Marketing Manager,25.0,170000
94,33,1.0,2.0,Business Analyst,7.0,75000
95,39,2.0,2.0,Training Specialist,12.0,65000
